	积分流强A*h	  流强mA	  寿命h 	压强pa  	流强*寿命	压强/流强
	345.5790817	157.328342	7.202487639	1.21E-07	1133.155439	7.66E-10
	346.8183077	145.8071706	7.911995743	1.17E-07	1153.625713	8.03E-10
	348.5690681	90.184162	11.62935944	1.03E-07	1048.784036	1.14E-09
	349.6831877	135.4708026	8.285853835	1.14E-07	1122.491269	8.42E-10
	350.6401503	184.0402714	6.421605286	1.30E-07	1181.83398	7.04E-10
	351.9744111	159.8181928	7.468316079	1.23E-07	1193.572779	7.71E-10
	353.0072287	163.082386	6.926540933	1.25E-07	1129.596822	7.69E-10
	354.5590229	164.0617882	7.163620331	1.25E-07	1175.276361	7.64E-10
	355.5833809	158.2756752	7.373849462	1.24E-07	1167.101002	7.85E-10
	356.7055664	144.4854096	7.937926258	1.20E-07	1146.914527	8.33E-10
	358.9200288	121.2048954	8.234040369	1.22E-07	998.0060017	1.00E-09
	365.4652309	143.017501	7.387750446	1.32E-07	1056.577607	9.21E-10
	366.866457	175.6486976	6.605625899	1.43E-07	1160.269586	8.11E-10
	367.6427323	216.831744	4.539771931	1.60E-07	984.3666652	7.37E-10
	369.7155251	160.5092756	7.040249922	1.36E-07	1130.025415	8.50E-10
	370.8989985	132.1705702	7.863288822	1.31E-07	1039.295367	9.88E-10
	372.9977462	109.9393936	8.363299427	1.21E-07	919.4560675	1.10E-09
	374.2667615	186.729891	6.122177759	1.43E-07	1143.193586	7.67E-10
	376.2046357	182.8586086	6.096132228	1.38E-07	1114.730257	7.55E-10
	377.6966085	101.95044	9.062043753	1.19E-07	923.879348	1.16E-09
	379.8044516	100.628753	10.27393323	1.13E-07	1033.853089	1.12E-09
	380.7364524	204.5709	4.959251918	2.03E-07	1014.518628	9.92E-10
	382.2201019	132.964135	7.49348496	1.30E-07	996.3647459	9.76E-10
	386.7155868	92.5601046	10.33793097	1.21E-07	956.8799718	1.30E-09
	388.922496	121.7065998	8.176749703	1.13E-07	995.1644038	9.29E-10
	391.7228863	179.4672224	6.208352411	1.40E-07	1114.195763	7.77E-10
	394.8989197	129.8299232	7.817422127	1.15E-07	1014.935314	8.88E-10
	397.7704603	126.6800692	7.284647877	1.19E-07	922.8196972	9.38E-10
	403.6323339	108.0092074	7.704911851	1.22E-07	832.2014222	1.13E-09
	405.2694383	150.0912794	7.719824101	1.21E-07	1158.678276	8.07E-10
	406.8213383	196.3495946	6.315879769	1.29E-07	1240.120432	6.58E-10
	408.4467652	176.7523724	7.304566497	1.21E-07	1291.099458	6.86E-10
	409.6421446	143.4086948	8.147989446	1.12E-07	1168.492532	7.80E-10
	411.022339	255.609898	4.529109955	1.53E-07	1157.685334	5.97E-10
	
	422.8120368	34.2333982	5.861553201	6.00E-08	200.6608848	1.91E-09 第二阶段 20141127-20150322
	423.0116412	35.033479	6.591011041	5.79E-08	230.9060469	1.86E-09
	423.2127444	40.7874436	5.847935267	5.92E-08	238.5223299	1.60E-09
	423.522722	27.2203064	7.104395411	5.06E-08	193.3838199	2.40E-09
	425.0180432	24.8829514	11.75391458	4.94E-08	292.4720853	2.62E-09
	426.5099627	43.1161528	6.096665483	5.96E-08	262.8647605	1.51E-09
	426.7792093	28.2402944	9.591787845	5.15E-08	270.8749126	2.31E-09
	426.9704242	43.75734	7.321480967	5.49E-08	320.368532	1.49E-09
	428.8338467	34.5245998	10.37763519	3.73E-08	358.2837017	1.89E-09
	430.0758282	58.9957634	5.625944233	4.42E-08	331.9068749	1.11E-09
	430.6292941	31.4138792	10.57045349	3.28E-08	332.058949	2.08E-09
	432.1994402	39.4582492	9.502326538	3.67E-08	374.9451685	1.65E-09
	432.5678401	50.414443	6.99812917	3.92E-08	352.8067841	1.29E-09
	434.0374826	44.1907368	7.494062224	3.72E-08	331.1681313	1.48E-09
	435.1557128	33.5442944	9.677122939	3.46E-08	324.6122608	1.94E-09
	436.9405832	26.0766926	13.06146087	3.12E-08	340.5997	2.50E-09
	439.0704477	26.0070328	13.27686758	2.94E-08	345.2919306	2.51E-09
	440.8557949	32.5221944	9.915076964	3.26E-08	322.4600605	2.01E-09
	442.8603833	52.7147348	7.970027704	3.87E-08	420.1378967	1.24E-09
	443.1441921	48.1103658	7.868679616	3.51E-08	378.5650547	1.36E-09
	444.6232139	69.8136428	5.875077908	4.40E-08	410.1605905	9.34E-10
	445.037129	75.2299472	5.496791085	4.47E-08	413.5233031	8.67E-10
	447.1000264	73.8176566	6.388866113	4.60E-08	471.6111248	8.84E-10
	447.5072635	130.786884	4.018167738	5.38E-08	525.5236379	4.99E-10
	449.648449	50.7276578	7.933854004	3.82E-08	402.4658309	1.29E-09
	450.609447	91.303836	6.500706652	4.70E-08	593.539454	7.14E-10
	453.283547	61.5147918	11.24305975	3.84E-08	691.6144797	1.06E-09
	454.1732139	114.1590672	6.961371903	5.28E-08	794.7037228	5.71E-10
	455.9820279	86.0806828	9.119211443	4.49E-08	784.9879476	7.58E-10
	456.9086814	73.3629696	10.20080947	4.15E-08	748.3616751	8.89E-10
	457.7319992	99.5928722	7.763251584	4.64E-08	773.1645229	6.55E-10
	458.6324523	111.0115566	7.4571906	4.97E-08	827.8343364	5.88E-10
	460.7261645	86.643543	8.947974799	4.44E-08	775.2842393	7.53E-10
	461.4684857	100.7346458	8.187471974	4.65E-08	824.7620893	6.47E-10
	463.516876	94.1766122	9.43183488	4.54E-08	888.2582558	6.93E-10
	464.5601138	134.8926974	7.127074549	5.10E-08	961.3903105	4.83E-10
	465.2744262	103.6741008	9.426738648	4.59E-08	977.3086529	6.29E-10
	467.0986041	112.5443524	8.255568608	4.77E-08	929.1176227	5.80E-10
	468.8516607	93.5719854	9.813906413	4.27E-08	918.3067076	6.97E-10
	469.4869652	111.6091656	8.238631274	4.83E-08	919.5067622	5.84E-10
	470.5581708	124.8779716	7.601989022	5.02E-08	949.3209692	5.22E-10
	471.1266962	138.7013578	7.162329817	5.39E-08	993.4248706	4.70E-10
	477.4946286	120.462562	8.926796498	4.57E-08	1075.344777	5.41E-10
	478.3588978	75.1770374	11.86538887	3.72E-08	892.0047831	8.68E-10
	479.2794368	107.1795524	8.990522284	4.56E-08	963.6001543	6.09E-10
	479.865436	125.2776156	8.847740946	4.76E-08	1108.423889	5.21E-10
	480.8502569	101.5095574	10.14266238	4.53E-08	1029.577169	6.42E-10
	482.081284	87.7259998	11.68920988	4.06E-08	1025.447623	7.43E-10
	482.8342476	133.8552168	8.767276445	5.35E-08	1173.545689	4.87E-10
	483.7774062	106.2208818	10.19230091	4.83E-08	1082.635191	6.14E-10
	484.78824	107.5513664	9.945842586	4.63E-08	1069.68896	6.06E-10
	485.7170897	143.2358052	8.22947471	5.33E-08	1178.755437	4.55E-10
	486.7056186	112.3834654	9.877666564	4.87E-08	1110.086399	5.80E-10
	487.8278766	107.2810114	10.14479988	4.64E-08	1088.344391	6.08E-10
	488.8361126	132.300322	9.407200275	5.07E-08	1244.575625	4.93E-10
	489.732155	120.7182536	10.1123695	4.87E-08	1220.747586	5.40E-10
	491.0992896	91.0522766	13.07135615	4.34E-08	1190.176736	7.16E-10
	493.2619824	144.2776262	7.736888373	5.50E-08	1116.259889	4.52E-10
	497.7101958	141.4067032	9.069947659	5.60E-08	1282.551397	4.61E-10
	501.3010016	125.311561	10.11267175	5.11E-08	1267.234683	5.20E-10
	503.367991	158.938212	8.535903743	5.83E-08	1356.681279	4.10E-10
	504.4985249	128.653786	9.484913469	5.21E-08	1220.270028	5.07E-10
	505.77632	114.9934436	10.44541017	4.87E-08	1201.153686	5.67E-10
	506.8840313	144.6041538	8.94414948	5.62E-08	1293.361167	4.51E-10
	508.7574801	145.4224178	9.26136599	5.41E-08	1346.810234	4.48E-10
	510.2385861	148.1841004	8.878193864	5.69E-08	1315.607171	4.40E-10
	511.1032051	155.773732	6.811067459	6.11E-08	1060.985397	4.19E-10
	512.5269409	126.9351126	9.118875802	5.26E-08	1157.505527	5.14E-10
	513.6076229	184.3603122	7.701940091	6.48E-08	1419.93208	3.54E-10
	514.6756793	173.1697314	6.323889554	6.33E-08	1095.106255	3.77E-10
	516.3749945	112.9209704	10.89734327	4.89E-08	1230.538577	5.78E-10
	517.3811723	189.272396	7.620863764	6.53E-08	1442.419144	3.45E-10
	519.539608	122.1601764	10.70471044	5.00E-08	1307.689316	5.34E-10
	520.5588394	184.8377642	7.893442237	6.13E-08	1459.006215	3.53E-10
	523.1961838	119.0171304	10.97030375	4.88E-08	1305.654072	5.48E-10
	524.2373568	179.615465	7.93503346	6.23E-08	1425.254725	3.63E-10
	525.5031864	151.0517066	9.478064506	5.57E-08	1431.677819	4.32E-10
	526.3319079	163.8688802	8.696821221	5.83E-08	1425.138355	3.98E-10
	526.7803654	98.6999256	12.98332044	4.49E-08	1281.452761	6.61E-10
	527.8382492	169.676946	8.34781961	5.72E-08	1416.432537	3.84E-10
	530.1374421	128.1397434	10.0890278	4.71E-08	1292.805434	5.09E-10
	531.393771	162.6175466	8.799396612	5.47E-08	1430.936289	4.01E-10
	533.8740368	123.051161	10.62320024	4.69E-08	1307.197123	5.30E-10
	535.0591469	174.1860818	8.650574624	5.67E-08	1506.809699	3.74E-10
	536.3588325	144.7997194	9.838434552	5.15E-08	1424.602563	4.50E-10
	538.8791167	150.0581778	10.52247736	5.89E-08	1578.983779	4.35E-10
	542.531881	130.3008834	10.22438604	4.78E-08	1332.246533	5.01E-10
	543.5352857	127.641886	10.59458847	4.68E-08	1352.313253	5.11E-10
	545.7701123	132.8949122	10.12276843	4.83E-08	1345.264422	4.91E-10
	546.8670583	140.7703882	9.87583657	4.90E-08	1390.225348	4.63E-10
	548.2497063	118.2790778	11.60558757	4.61E-08	1372.698195	5.51E-10
	549.5297267	167.5468338	8.736603686	5.40E-08	1463.790286	3.89E-10
	550.5088196	165.6106638	9.115377328	5.43E-08	1509.60369	3.94E-10
	551.951626	114.1380134	11.65748715	4.54E-08	1330.562424	5.71E-10
	553.6103757	113.4634452	11.05349575	4.60E-08	1254.16771	5.75E-10
	555.1075136	118.1572766	10.31214182	4.36E-08	1218.454594	5.52E-10
